"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Contratos ISP","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Contratos ISP","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Contratos ISP","Carácter","Campo base","","","True",""
"access_warning","Access warning","Contratos ISP","texto","Campo base","","","True",""
"account_payment_count","Account Payment Count","Contratos ISP","Monetario","Campo base","","","True",""
"account_payment_ids","Abonos","Contratos ISP","one2many","Campo base","","True","","account.payment"
"active","Active","Contratos ISP","booleano","Campo base","","True","",""
"active_deposit","Activo Dep.Online","Contratos ISP","booleano","Campo base","","True","",""
"active_payment_anticipated","Activar Pago Anticipado","Contratos ISP","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Contratos ISP","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Contratos ISP","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Contratos ISP","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Contratos ISP","Carácter","Campo base","","","True",""
"activity_ids","Activities","Contratos ISP","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Contratos ISP","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Contratos ISP","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Contratos ISP","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Contratos ISP","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Contratos ISP","many2one","Campo base","","","","res.users"
"additional_users_visible","Additional Users Visible","Contratos ISP","booleano","Campo base","","","True",""
"address","Dirección","Contratos ISP","Carácter","Campo base","","True","True",""
"address_ref","Referencia","Contratos ISP","Carácter","Campo base","","True","",""
"amount_bolivar","Monto Bolivares","Contratos ISP","número flotante","Campo base","","True","",""
"amount_digital","Monto Digital","Contratos ISP","número flotante","Campo base","","True","",""
"amount_dollar","Monto Dolares","Contratos ISP","número flotante","Campo base","","True","",""
"amount_igtf","IGTF (Bs)","Contratos ISP","número flotante","Campo base","","","True",""
"amount_igtf_dollar","IGTF (USD)","Contratos ISP","número flotante","Campo base","","","True",""
"amount_paid","Monto Pagado","Contratos ISP","número flotante","Campo base","","True","",""
"amount_paid_bolivares","Monto Pagado Bolivares","Contratos ISP","número flotante","Campo base","","True","",""
"amount_sum_bolivar","Monto Sumado (Bs)","Contratos ISP","número flotante","Campo base","","","True",""
"amount_total_bolivar","Monto Total (Bs)","Contratos ISP","número flotante","Campo base","","","True",""
"amount_total_dollar","Monto Total (USD)","Contratos ISP","número flotante","Campo base","","","True",""
"anticipated_payment_line_ids","Anticipated Payment Line","Contratos ISP","one2many","Campo base","","True","","payment.anticipated"
"ap_brand_description","Descripcion","Contratos ISP","texto","Campo base","","","True",""
"ap_id","Equipo AP","Contratos ISP","many2one","Campo base","","True","True","isp.ap"
"assigned_equipments","Numero Equipos Asignados","Contratos ISP","entero","Campo base","","True","",""
"assigned_user_id","Usuario Asignado","Contratos ISP","many2one","Campo base","True","True","","res.users"
"basic_service_sheet","Planilla de Servicio Básico","Contratos ISP","binario","Campo base","","True","",""
"box_id","Caja NAP","Contratos ISP","many2one","Campo base","","True","True","isp.box"
"building_material_type","Tipo de Material","Contratos ISP","Selección","Campo base","","True","",""
"c_vlan","c-vlan","Contratos ISP","entero","Campo base","","True","",""
"cedula_gone","Cedula","Contratos ISP","Carácter","Campo base","","True","",""
"city","Ciudad","Contratos ISP","Carácter","Campo base","","True","",""
"cod_customer_nap","Cod. Cliente NAP","Contratos ISP","Carácter","Campo base","","True","",""
"company_id","Compañia","Contratos ISP","many2one","Campo base","","True","","res.company"
"config_method","Config. Method","Contratos ISP","Selección","Campo base","","True","",""
"contract_advance_payments_count","Conteo Pagos Anticipados","Contratos ISP","entero","Campo base","","","True",""
"contract_cuttoff_date_id","Período de Consumo","Contratos ISP","many2one","Campo base","","True","","contract.cutoff.date"
"contract_discount_id","Promoción","Contratos ISP","many2one","Campo base","","True","","contract.discount"
"contract_discount_ids","Descuentos Permitidos","Contratos ISP","many2many","Campo base","","","True","contract.discount"
"contract_discount_line_id","Línea de Promoción","Contratos ISP","many2one","Campo base","","True","","contract.velocity.line"
"contract_discout_count","Contract Discout Count","Contratos ISP","entero","Campo base","","","True",""
"contract_invoice_amount","Monto Deuda","Contratos ISP","número flotante","Campo base","","True","",""
"contract_invoice_count","Contract Invoice Count","Contratos ISP","número flotante","Campo base","","","True",""
"contract_invoice_exchange_count","Monto Bolivares","Contratos ISP","número flotante","Campo base","","","True",""
"contract_latitude","Geo Latitud","Contratos ISP","número flotante","Campo base","","True","",""
"contract_line_id","Plan Internet","Contratos ISP","many2one","Campo base","","True","True","contract.line"
"contract_longitude","Geo Longitud","Contratos ISP","número flotante","Campo base","","True","",""
"contract_mb_consumption_ids","Tabla Megas Consumidas","Contratos ISP","one2many","Campo base","","True","","contract.mb.consumption"
"contract_mode_wan_ids","Mode Wan Line","Contratos ISP","one2many","Campo base","","True","","contract.mode.wan"
"contract_parent_count","Contract Parent Count","Contratos ISP","entero","Campo base","","","True",""
"contract_payment_amount","Monto Pago","Contratos ISP","número flotante","Campo base","","","",""
"contract_table_radius_ids","Tabla Radius","Contratos ISP","one2many","Campo base","","True","","contract.radius.table"
"contract_type","Tipo Contrato","Contratos ISP","Selección","Campo base","","True","",""
"core_brand_description","Descripcion","Contratos ISP","texto","Campo base","","","True",""
"core_id","Equipo Core","Contratos ISP","many2one","Campo base","","True","True","isp.core"
"count_reconnection","# Reconexiones","Contratos ISP","entero","Campo base","","","True",""
"country_id","Pais","Contratos ISP","many2one","Campo base","","True","","res.country"
"create_date","Created on","Contratos ISP","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Contratos ISP","many2one","Campo base","","True","True","res.users"
"currency_id","Moneda","Contratos ISP","many2one","Campo base","","True","","res.currency"
"currency_payment_id","Moneda Pago","Contratos ISP","many2one","Campo base","","True","","res.currency"
"custom_channel_id","Canal","Contratos ISP","many2one","Campo base","","True","","addres.list.channel.line"
"cut_off","Deshabilitar Corte","Contratos ISP","booleano","Campo base","","True","",""
"date_active","Fecha Activacion","Contratos ISP","fecha","Campo base","","True","True",""
"date_cut","Fecha de Corte","Contratos ISP","fecha","Campo base","","True","True",""
"date_cut_ott","Fecha Corte IPTV","Contratos ISP","fecha","Campo base","","True","True",""
"date_end","Fecha Fin","Contratos ISP","fecha","Campo base","","True","True",""
"date_end_promotion","Fecha Final Promoción","Contratos ISP","fecha","Campo base","","True","",""
"date_localization","Geolocation Date","Contratos ISP","fecha","Campo base","","True","",""
"date_penalty","Fecha Auditoria","Contratos ISP","fecha","Campo base","","True","",""
"date_reconect_ott","Fecha Reconexión IPTV","Contratos ISP","fecha","Campo base","","True","True",""
"date_reconnection","Fecha Reconexion","Contratos ISP","fecha","Campo base","","True","True",""
"date_renovation","Fecha de Renovación","Contratos ISP","fecha","Campo base","","True","True",""
"date_start","Fecha Inicio","Contratos ISP","fecha","Campo base","","True","True",""
"date_start_ott","Fecha Inicio IPTV","Contratos ISP","fecha","Campo base","","True","True",""
"day_cut","Día de Corte","Contratos ISP","entero","Campo base","","True","",""
"default_gateway","Default gateway","Contratos ISP","Carácter","Campo base","","True","",""
"description_contract","Nota","Contratos ISP","html","Campo base","","True","",""
"description_onu","Descripcion","Contratos ISP","html","Campo base","","True","",""
"device_tr069_id","Device ID TR-069","Contratos ISP","Carácter","Campo base","","True","",""
"disability_percentage","Porcentaje de Discapacidad","Contratos ISP","número flotante","Campo base","","True","",""
