"Nombre","Total NAP","Usada NAP","Pais","Provincia","Direccion","Customer Latitude","Customer Longitude","Cod.Postal","c-vlan","Number of Actions","Tipo","Nodo/Nombre","Spliter Secundario","s-vlan","Gestion Vlan NAP","gs-vlan","gc-vlan","DHCP Leases","Puerto Splitter Secundario","PRI ONU Standar:","PRI ONU Bridge:"
"NAP BRISAVILA 1.24.4.1.1.0.1 BRISAVILA","8","7","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","1","",""
"NAP BRISAVILA 1.24.4.1.1.0.2 BRISAVILA","8","7","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","2","",""
"NAP BRISAVILA 1.24.4.1.1.0.3 BRISAVILA","8","7","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","3","",""
"NAP BRISAVILA 1.24.4.1.1.0.4 BRISAVILA","8","0","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","4","",""
"NAP BRISAVILA 1.24.4.1.1.0.5 BRISAVILA","8","8","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","5","",""
"NAP BRISAVILA 1.24.4.1.1.0.6 BRISAVILA","8","6","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","6","",""
"NAP BRISAVILA 1.24.4.1.1.0.7 BRISAVILA","8","1","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","7","",""
"NAP BRISAVILA 1.24.4.1.1.0.8 BRISAVILA","8","4","Venezuela","Distrito Capital (VE)","","10.512573366884787","-66.91129557031374","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","8","",""
"NAP BRISAVILA 1.24.4.1.1.0.9 SANTA ANA DE CORO","8","2","Venezuela","Distrito Capital (VE)","","10.512195828091183","-66.9111720644123","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","9","",""
"NAP BRISAVILA 1.24.4.1.1.0.10 SANTA ANA DE CORO","8","8","Venezuela","Distrito Capital (VE)","","10.512195828091183","-66.9111720644123","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","10","",""
"NAP BRISAVILA 1.24.4.1.1.0.11 SANTA ANA DE CORO","8","6","Venezuela","Distrito Capital (VE)","","10.512195828091183","-66.9111720644123","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","11","",""
"NAP BRISAVILA 1.24.4.1.1.0.12 SANTA ANA DE CORO","8","9","Venezuela","Distrito Capital (VE)","","10.512195828091183","-66.9111720644123","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","12","",""
"NAP BRISAVILA 1.24.4.1.1.0.13 SANTA ANA DE CORO","8","7","Venezuela","Distrito Capital (VE)","","10.512195828091183","-66.9111720644123","","0","0","Inactivo","Brisavila","BSVL/CR2/OLT1/C0/P1/S2","0","","0","0","","13","",""
