"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Punto de acceso inalámbrico","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Punto de acceso inalámbrico","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Punto de acceso inalámbrico","Carácter","Campo base","","","True",""
"access_warning","Access warning","Punto de acceso inalámbrico","texto","Campo base","","","True",""
"active","Active","Punto de acceso inalámbrico","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Punto de acceso inalámbrico","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Punto de acceso inalámbrico","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Punto de acceso inalámbrico","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Punto de acceso inalámbrico","Carácter","Campo base","","","True",""
"activity_ids","Activities","Punto de acceso inalámbrico","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Punto de acceso inalámbrico","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Punto de acceso inalámbrico","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Punto de acceso inalámbrico","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Punto de acceso inalámbrico","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Punto de acceso inalámbrico","many2one","Campo base","","","","res.users"
"ap_latitude","Latitude","Punto de acceso inalámbrico","número flotante","Campo base","","True","",""
"ap_longitude","Longitude","Punto de acceso inalámbrico","número flotante","Campo base","","True","",""
"brand_ap_id","Marca","Punto de acceso inalámbrico","many2one","Campo base","True","True","","product.brand"
"capacity_usage_ap","Usada AP","Punto de acceso inalámbrico","entero","Campo base","","","True",""
"core_id","Equipo Core","Punto de acceso inalámbrico","many2one","Campo base","","True","","isp.core"
"country_id","Pais","Punto de acceso inalámbrico","many2one","Campo base","","True","","res.country"
"create_date","Created on","Punto de acceso inalámbrico","Fecha y hora","Campo base","","True","True",""
