"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Equipo Core","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Equipo Core","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Equipo Core","Carácter","Campo base","","","True",""
"access_warning","Access warning","Equipo Core","texto","Campo base","","","True",""
"active","Active","Equipo Core","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Equipo Core","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Equipo Core","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Equipo Core","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Equipo Core","Carácter","Campo base","","","True",""
"activity_ids","Activities","Equipo Core","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Equipo Core","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Equipo Core","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Equipo Core","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Equipo Core","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Equipo Core","many2one","Campo base","","","","res.users"
"ap_count","Conteo Equipo AP","Equipo Core","entero","Campo base","","","True",""
"brand_core_id","Marca","Equipo Core","many2one","Campo base","True","True","","product.brand"
"brand_description","Descripcion","Equipo Core","texto","Campo base","","","True",""
"company_id","Company","Equipo Core","many2one","Campo base","","True","True","res.company"
"contracts_cores_count","Conteo Cores","Equipo Core","entero","Campo base","","","True",""
"create_date","Created on","Equipo Core","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Equipo Core","many2one","Campo base","","True","True","res.users"
"custom_channel_ids","Canales","Equipo Core","one2many","Campo base","","True","","addres.list.channel.line"
"custom_list_active","Activos","Equipo Core","Carácter","Campo base","","True","",""
"custom_list_cuttoff","Cortados","Equipo Core","Carácter","Campo base","","True","",""
"custom_list_layoff","Suspendidos","Equipo Core","Carácter","Campo base","","True","",""
"cutoff_reconnection_ipaddress","IP Address","Equipo Core","booleano","Campo base","","True","",""
"cutoff_reconnection_piloto","Name Contrato","Equipo Core","booleano","Campo base","","True","",""
"cvlan","cvlan","Equipo Core","Carácter","Campo base","","True","",""
"dhcp_custom_server","DHCP Leases","Equipo Core","Carácter","Campo base","","True","",""
"display_name","Display Name","Equipo Core","Carácter","Campo base","","","True",""
"gateway","Gateway","Equipo Core","many2one","Campo base","","True","","isp.ip.address"
"has_message","Has Message","Equipo Core","booleano","Campo base","","","True",""
"hostname_core","Hostname","Equipo Core","Carácter","Campo base","","True","",""
"id","ID","Equipo Core","entero","Campo base","","True","True",""
"interface","Interface","Equipo Core","Carácter","Campo base","","True","",""
"ip_address_ids","Direcciones IP","Equipo Core","one2many","Campo base","","True","","isp.ip.address"
"ip_address_line_ids","Direcciones IP","Equipo Core","one2many","Campo base","","True","","isp.ip.address.line"
"ip_core","IP de Conexion","Equipo Core","Carácter","Campo base","","True","",""
"is_action_button","Ejecutado desde el Boton","Equipo Core","booleano","Campo base","","True","",""
"is_active_vlans","Activar Vlans Core","Equipo Core","booleano","Campo base","","True","",""
"is_change_mac","Mostrar MAC","Equipo Core","booleano","Campo base","","True","",""
"is_custom_address_list","Custom Address Lists","Equipo Core","booleano","Campo base","","True","",""
"is_custom_address_list_channel","Custom Addrs Lst por Canal","Equipo Core","booleano","Campo base","","True","",""
"is_cutoff_reconnection","Corte/Reconexion Servicio","Equipo Core","booleano","Campo base","","True","",""
"is_desactive_core","Desactivar Core","Equipo Core","booleano","Campo base","","True","",""
"is_desactive_olt","Desactivar OLT","Equipo Core","booleano","Campo base","","True","",""
"is_device_network","Equipos de infraestructura de red","Equipo Core","booleano","Campo base","","True","",""
"is_extract_ip_arp","Extraer IP ARP","Equipo Core","booleano","Campo base","","True","",""
"is_extract_ip_lease","Extraer IP Lease","Equipo Core","booleano","Campo base","","True","",""
"is_extract_mac_core","Asignar MAC para CALLER ID","Equipo Core","booleano","Campo base","","True","",""
"is_fiber","Fibra Optica","Equipo Core","booleano","Campo base","","True","",""
"is_fttb_queue","FTTB","Equipo Core","booleano","Campo base","","True","",""
"is_generate","Generado?","Equipo Core","booleano","Campo base","","True","",""
"is_gestion_queue_parent","Gestión de Cola Padre","Equipo Core","booleano","Campo base","","True","",""
"is_isp_radius","Activar Radius ","Equipo Core","booleano","Campo base","","True","",""
