"Código","Hostname","Marca","Modelo","IP de Conexion","Puerto de Conexion","Usuario","Estado"
"ALTG/CR1","Altagracia","Mikrotik","CCR2116-12G-4S+","10.255.255.78","19105","odoo_aynitics_API","Active"
"BSVL/CR2","BrisavilaFibra","Mikrotik","CCR2116-12G-4S+","10.255.255.75","19103","odoo_aynitics_API","Active"
"CRPT/CR1","Carapita","Mikrotik","CCR2116-12G-4S+","154.194.14.250","21101","odoo_aynitics_API","Active"
"COCH/CR2","Access-Coche-01","Mikrotik","CCR2004-16G-2S+","10.255.255.74","22101","odoo_aynitics_API","Active"
"HCHB/CR2","HaHumboldtFibra","Mikrotik","CCR2116-12G-4S+","10.255.255.66","","","Active"
"LPAZ/CR1","LaPaz","Mikrotik","CCR2004-16G-2S+","10.255.255.77","17101","odoo_aynitics_API","Down"
"NIKN/CR1","Nikanor","Mikrotik","CCR2004-16G-2S+","10.255.255.73","","","Down"
"PQCT/CR1","ParqueCentral","Mikrotik","CCR2116-12G-4S+","10.255.255.71","","","Active"
"SVDT/CR1","Oficina-Silverdata","Mikrotik","CCR1016-12G","10.255.255.1","","","Active"
"679/CR1","679","Mikrotik","RB4011iGS+","10.255.255.3","","","Down"
"679/CR3","Vaisy","Mikrotik","RB4011iGS+","10.255.255.10","","","Active"
"BSVL/CR1","Brisavila","Mikrotik","CCR2004-16G-2S+","10.255.255.33","","","Active"
"BSVL/CR3","EdifGuillernoV","Mikrotik","hEX S","10.255.255.38","","","Active"
"BSVL/CR4","EdifLozada","Mikrotik","hEX S","10.255.255.39","","","Active"
"BSVL/CR5","EdifLuisaCaceres","Mikrotik","hEX","10.255.255.48","","","Active"
"BSVL/CR6","EdifDarijak","Mikrotik","hEX","10.255.255.49","","","Active"
"BSVL/CR7","EdifJunin","Mikrotik","hEX","10.255.255.51","","","Active"
"BSVL/CR8","Edif Altagracia","Mikrotik","hEX PoE","10.255.255.52","","","Active"
"BSVL/CR9","EdifParqueManfredys","Mikrotik","hEX","10.255.255.58","19121","odoo_aynitics_API","Active"
"BSVL/CR10","EdifTulipan","Mikrotik","hEX","10.255.255.62","","","Active"
"BSVL/CR11","Edif Castol","Mikrotik","hEX","10.255.255.64","","","Active"
"BSVL/CR12","EdifAntares","Mikrotik","hEX","10.255.255.68","","","Active"
"BSVL/CR13","EdifSanGabriel","Mikrotik","hEX","10.255.255.69","","","Active"
"CBM/CR1","CBM","Mikrotik","RB4011iGS+","10.255.255.12","","","Active"
"CBM/CR2","EdfPortalAlameda","Mikrotik","RB2011UiAS","10.255.255.13","","","Active"
"CIMA/CR2","QtaClarimar","Mikrotik","hEX","10.255.255.79","","","Down"
"CIMA/CR3","EdfLosProceres","Mikrotik","hEX","10.255.255.18","","","Active"
"CIMA/CR4","CCMMLB","Mikrotik","hEX","10.255.255.34","","","Active"
"CIMA/CR5","EdifCima","Mikrotik","CCR2004-16G-2S+","10.255.255.37","","","Active"
"COCH/CR1","Coche","Mikrotik","RB4011iGS+","10.255.255.30","22103","odoo_aynitics_API","Active"
"COCH/CR3","EdifRoble","Mikrotik","hEX","10.255.255.40","22105","odoo_aynitics_API","Active"
"COCH/CR4","EdifJuanBautista","Mikrotik","hEX","10.255.255.50","22107","odoo_aynitics_API","Active"
"COCH/CR5","ResdParaguaipoa","Mikrotik","hEX","10.255.255.53","22109","odoo_aynitics_API","Active"
"COCH/CR6","EdifGuamo","Mikrotik","hEX","10.255.255.76","22111","odoo_aynitics_API","Active"
"CUMB/CR1","Cumbres","Mikrotik","RB4011iGS+","10.255.255.2","","","Active"
"CUMB/CR2","EdfSantaAna","Mikrotik","hEX","10.255.255.8","","","Down"
"CUMB/CR3","EdfMariaRosa","Mikrotik","hEX","10.255.255.21","","","Active"
"CUMB/CR4","EdifAries","Mikrotik","hEX","10.255.255.22","","","Active"
"CUMB/CR5","EdfKaramakata","Mikrotik","hEX","10.255.255.23","","","Active"
"DORA/CR1","DoralCentro","Mikrotik","CCR2004-16G-2S+","10.255.255.54","","","Active"
"DORA/CR2","ResidDanoral","Mikrotik","hEX","10.255.255.56","","","Active"
"DORA/CR3","EdifGranoral","Mikrotik","hEX","10.255.255.61","","","Active"
"DORA/CR4","EdifLarris","Mikrotik","hEX","10.255.255.63","","","Active"
"DORA/CR5","EdifDonCamilo","Mikrotik","hEX","10.255.255.65","","","Active"
"DORA/CR6","EdifAlmosny","Mikrotik","hEX","10.255.255.70","","","Active"
"HCHB/CR1","HaHumboldtB","Mikrotik","CCR2004-16G-2S+","10.255.255.15","","","Down"
"HCHB/CR3","EdifHumaco","Mikrotik","hEX","10.255.255.31","","","Active"
"HCHB/CR4","EdifAmalia","Mikrotik","hEX","10.255.255.59","","","Active"
"HCHB/CR5","EdifEnevolucion","Mikrotik","hEX","10.255.255.80","","","Active"
"HTML/CR1","HotelMilenio","Mikrotik","RB4011iGS+","10.255.255.36","","","Down"
"HTML/CR2","EdfUlises","Mikrotik","hEX","10.255.255.27","","","Active"
"HTML/CR3","EdfSanDiego","Mikrotik","hEX","10.255.255.28","","","Active"
"HTML/CR4","LlaecoB","Mikrotik","hEX","10.255.255.60","","","Active"
"ISP/CR1","IglesiaSanPedro","Mikrotik","CCR2004-16G-2S+","10.255.255.72","","","Active"
"ISP/CR2","EdifSanPedro","Mikrotik","hEX","10.255.255.29","","","Active"
"ISP/CR3","EdifCodazzi","Mikrotik","hEX","10.255.255.35","","","Active"
"ISP/CR4","EdifDonCruz","Mikrotik","hEX","10.255.255.42","","","Active"
"MANS/CR1","LaMansion","Mikrotik","RB4011iGS+","10.255.255.9","","","Down"
"MANS/CR2","ParquePradoA","Mikrotik","hEX","10.255.255.25","","","Down"
