"Hostname","IP de Conexión","Marca","Modelo","Nombre","Puerto de Conexión","Status","Usuario Core","Activar Radius","Activar Vlans Core","Activo","Activos","Asignar MAC para CALLER ID","Astate","Asset Type","Calle","Clave PPPoE","Codigo interno","Codigo Postal","Color","CVLAN","Desactivar Core","Desactivar OLT","Descripción","DHCP Leases","Display Name","Edificio/Zona","Ejecutado desde el Botón","Extraer IP ARP","Extraer IP Lease","Fecha de Geolocalización","Fecha de Instalación","Fibra Óptica","Firmware Version","FTTB","Generado?","Gestión de Cola Padre","Habilitar múltiples Vlans","Habilitar Dhcp Static","ID externo","Interface","IP Address","Is Follower","Latitud","Longitud","Marca/ID externo","Mikrotik Radius","Mostrar MAC","Nodo/ID externo","Nodos/ID externo","Notes","Number of Actions","Number of errors","Número","Password","Password Nass","Password PPPoE","Pool de IPs Único","Poolip","Portal Access URL","PPPoE Medio Inalámbrico","Profile PPPoE","Profiles VSOL","Puerto COA","Puerto por Tarjeta","Radius Server IP","Radius Shared Secret","Reconexión IP+Address-List","Security Token","Simple Queues","Serial Number","SMS Delivery error","Suspendidos","Tarjeta Slot","SVLAN","Tipo de Conexión","Tipos de Control","Usar Pool Dinámico","Tipo","User PROFILE","Versión Software","Vlans única"
"Altagracia","","Mikrotik","CCR2116-12G-4S+","ALTG/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","ALTG/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_143_f5d8dae5","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_34_cc0a003f","","","0","0","","","c273470aaf6bdf15a4e7068b1ddf5f4649d7748b","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","7.8",""
"BrisavilaFibra","","Mikrotik","CCR2116-12G-4S+","BSVL/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","BSVL/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_144_63d5c407","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_35_c0b750fd","","","0","0","","","09caeecc71341228ab6bd9d081901bc9d9ec3bbd","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","7.8",""
"Carapita","","Mikrotik","CCR2116-12G-4S+","CRPT/CR6","","Down","","True","","True","","","new","core","","","","","","","","","mk","","CRPT/CR6 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_145_f686f28a","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_36_3a8b68ad","","","0","0","","","","","","","#","","","","","0","","","","","","","","","0","","ssh","","","Inactivo","","7.8",""
"Access-Coche-01","","Mikrotik","CCR2004-16G-2S+","COCH/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","COCH/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_146_248d5ac0","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_37_4c1f810c","","","0","0","","","b78241bc5b3cf89f9af3bbb86cde787cf7427763","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","7.3.1",""
"HaHumboldtFibra","","Mikrotik","CCR2116-12G-4S+","HCHB/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","HCHB/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_147_fa27c6c9","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_38_b7eb6362","","","0","0","","","8bc6ec1d340c9851ffd3666bab22eab6dd38ce8d","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","7.16.1",""
"LaPaz","","Mikrotik","CCR2004-16G-2S+","LPAZ/CR1","","Down","","True","","True","","","new","core","","","","","","","","","mk","","LPAZ/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_148_46d96c3a","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_39_ae08259d","","","0","0","","","bba59ab52646e966af00237a6c1a19acf39e9318","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","7.6",""
"Nikanor","","Mikrotik","CCR2004-16G-2S+","NIKN/CR1","","Down","","True","","True","","","new","core","","","","","","","","","mk","","NIKN/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_149_f12ad124","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_40_9274031b","","","0","0","","","fdde0f93db7102c587e3710ca6f668c06c4fdead","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","7.16.1",""
"ParqueCentral","","Mikrotik","CCR2116-12G-4S+","PQCT/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","PQCT/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_150_761daf59","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_41_6d8bdb77","","","0","0","","","a33af32f8ecb804270622bbfbfaab50899dc35b2","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","7.16.2",""
"Oficina-Silverdata","","Mikrotik","CCR1016-12G","SVDT/CR1","","Activo","","True","","True","","","new","core","","","","","","","","","mk","","SVDT/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_151_c99e00a7","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_42_d659b769","","","0","0","","","95b5f38034cd4960e1d01824fd781eeae26b0601","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","Inactivo","","6.49.18",""
"679","","Mikrotik","RB4011iGS+","679/CR1","","Down","","True","","True","","","new","core","","","","","","","","","mk","","679/CR1 (YourCompany)","","","","","","","","","","","","","","__export__.isp_core_152_1cc808a4","","","","0.0","0.0","ayni_networks.mk","","","__export__.isp_node_22_b22f67ea","","","0","0","","","fa480cc837fb835bb4e696507453523c0b3b5877","","","","#","","","","1700","0","","","","","","","","","0","","ssh","","","IP Asiganada por el sistema","","6.49.17",""
