"Hostname","Marca","Modelo","IP de Conexion","Puerto de Conexion","Usuario","Estado","Access warning","Protocolo Type","Profiles VSOL","Profile ONU Generico","Action Needed","Activacion Bridge","Activar TR-069","Activar WAN ONU","Activities","Activity State","Activity Type Icon","Admin Control","Admin User","Attachment Count","Company","Control por Traffic Profile","Controlar Ancho de Banda","Controlar Upstream","Corte Por Puerto","Corte/Reconexion Servicio","Created by","Created on","Custom Gemport","Custom Tcont","Descripcion","Descripción","Deshabilitar Dhcp IPv6","Deshabilitar ONU","DHCP Leases","Direcciones IP","Direcciones IP","Direcciones IP","Direcciones IP","Disable Encapsulamiento IPOE/PPPOE","Display Name","DNS Primario","DNS Secundario","Enable NAT","Equipo Core","Equipo Core","Extraer MAC Learn","Extraer MAC ONU","Followers","Followers (Partners)","Gateway","gemport","Gemport","Generado?","Gestion PON por Vlan","Gestion Vlan NAP","Gestión WAN ONU","Guardar Configuracion Olt","Habilitar Acceso Remoto ONU","Has Message","Hostname","Icon","ID","ID","Interface Core","IP Acquisition Mode","IPoE","Is Follower","Kex Algorithms","Lan1","Lan2","Lan3","Lan4","Last Modified on","Last Updated by","Last Updated on","line product","Main Attachment","Message Delivery error","Messages","Modo de conexión WAN","MTU","Multiples Usuarios","My Activity Deadline","Name Server","Name Service","Network Router","Next Activity Calendar Event","Next Activity Deadline","Next Activity Summary","Next Activity Type","Nodo","Number of Actions","Number of errors","Numero de Slots","Ont Srvprofile","Password User","Poolip","Port Vlan","Portal Access URL","PPPoE","PRI ONU Bridge:","PRI ONU Standar:","Profile DBA de Gestion","Profile DBA de Internet","Puerto/IP para Gestion","Responsible User","Redireccionamiento ServicePort","Script Reducido","Security Token","Secret","Send Srvprofile","Serial Onu ASCII","Service Port-Internet","Service Type","Servidor TR-069","Shutdown Interface","SMS Delivery error","SSID1","SSID2","SSID3","SSID4","SSID5","SSID6","SSID7","SSID8","Tcont","Tipo Acceso","Tipo de Conexión","Traffic-Table(command)","Unread Messages","Unread Messages Counter","Uplink Port VLAN","Usuarios Equipo OLT","Valor ont_lineprofile","Valor ont_srvprofile","Version Software","Virtual","VLAN ID","Vlans-Profiles por Producto","Vlan Mgn_TR69","WAN Maxima","WAN Mode","Website Messages","Active"
"gpon-olt8-Coche","","","","0","","Down","","IPV4","","","","","","","","","","","","0","TELECOMUNICACIONES SILVERDATA C A","","True","True","","","YESSICA MORA","2025-04-22 16:30:08","","","","","","","","","","","","","gpon-olt8-Coche","8.8.8.8","1.1.1.1","","","","","","* YESSICA MORA","* YESSICA MORA","","","","","","","","","True","True","","","38","__export__.isp_olt_38_b1781cd3","","Static","","","","","","","","2025-04-22 16:30:08","YESSICA MORA","2025-04-22 16:30:08","","","","False","PPPoE","","","","","","","","","","","","0","0","0","Name","","","","#","","","","","","","","","","","","","","1","INTERNET","","","","","","","","","","","","","Inactivo","ssh","Name","","0","","","","ONT-GENERICO-ODOO","","","","","0","","Router","","True"
"THBO/OLT2","","","","0","","Down","","IPV4","","","","","","","","","","","","0","TELECOMUNICACIONES SILVERDATA C A","","True","True","","","PRUEBAS SERGIO","2025-08-08 10:37:48","","","","","","","","","","","","","THBO/OLT2","8.8.8.8","1.1.1.1","","","","","","* PRUEBAS SERGIO","* PRUEBAS SERGIO","","","","","","","","","True","True","","","45","__export__.isp_olt_45_5c74ad94","","Static","","True","","","","","","2025-08-08 10:37:48","PRUEBAS SERGIO","2025-08-08 10:37:48","","","","False","PPPoE","","","","","","","","","","","Torre Humboldt","0","0","0","Name","","","","#","","","","","","","","","","","","","","1","INTERNET","","","","","","","","","","","","1","Inactivo","ssh","Name","","0","","","","ONT-GENERICO-ODOO","","","","","0","","Router","","True"
"THBO/OLT1","","","","0","","Down","","IPV4","","","","","","","","","","","","0","TELECOMUNICACIONES SILVERDATA C A","","True","True","","","PRUEBAS SERGIO","2025-08-05 15:51:04","","","","","","","","","","","","","THBO/OLT1","8.8.8.8","1.1.1.1","","","","","","* PRUEBAS SERGIO","* PRUEBAS SERGIO","","","","","","","","","True","True","","","43","__export__.isp_olt_43_850ba92a","","Static","","True","","","","","","2025-08-08 10:46:04","PRUEBAS SERGIO","2025-08-08 10:46:04","","","","False","PPPoE","","","","","","","","","","","","0","0","0","Name","","","","#","","","","","","","","","","","","","","1","INTERNET","","","","","","","","","","","","1","Inactivo","ssh","Name","","0","","","","ONT-GENERICO-ODOO","","","","","0","","Router","","True"
"SVDT/CR1/OLT1","VSOL","GPON-OLT","154.197.1.250","16001","aynitics_OLT","Active","","IPV4","","","","","","","","","","True","admin","3","TELECOMUNICACIONES SILVERDATA C A","","","True","","True","PM Ayni","2024-08-23 09:49:02","True","True","mk","vsol","","","","","","","","","gpon-olt","8.8.8.8","1.1.1.1","True","Oficina-Silverdata","","","","","","","","1","","","","True","","True","True","gpon-olt","","30","__export__.isp_olt_30_728fbd0a","","Static","","","","True","","","","2024-10-31 12:30:51","Administrator","2024-10-31 12:30:51","","SVDT-CR1-OLT1_status_connect_olt_vsol.txt","","False","PPPoE","1492","","","Internet","","","","","","","","0","0","1","Name","S1lv3rd4t4","","True","#","","","","","max-band","","","","","","JAaQQTUEbwm7lw0","","","1","INTERNET","","","","True","","","","True","","","","1","Inactivo","telnet","Name","","0","","","","ONT-GENERICO-ODOO","1.x.9","","","","0","","Router","","True"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gpon-olt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gpon-olt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
