"Hostname","Marca","Modelo","IP de Conexion","Puerto de Conexion","Usuario","Estado","Access warning","Tipo Acceso"
"gpon-olt8-Coche","","","","0","","Down","","Inactivo"
"THBO/OLT2","","","","0","","Down","","Inactivo"
"THBO/OLT1","","","","0","","Down","","Inactivo"
"SVDT/CR1/OLT1","VSOL","GPON-OLT","154.197.1.250","16001","aynitics_OLT","Active","","Inactivo"
"PQCT/CR1/OLT2","VSOL","V1600G1","45.195.12.250","19002","aynitics_OLT","Active","","Inactivo"
"PQCT/CR1/OLT1","VSOL","V1600G2-B","45.195.12.250","19001","aynitics_OLT","Active","","Inactivo"
"NIKN/CR1/OLT1","VSOL","GPON-OLT","154.197.1.250","16002","aynitics_OLT","Active","","Inactivo"
"LPAZ/OLT4","VSOL","V1600G2-B","190.94.201.148","17004","aynitics_OLT","Down","","Inactivo"
"LPAZ/CR1/OLT3/C0/P12","","","","0","","Down","","Inactivo"
"LPAZ/CR1/OLT3","VSOL","GPON-OLT","190.94.201.148","17003","aynitics_OLT","Active","","Inactivo"
"LPAZ/CR1/OLT2","VSOL","GPON-OLT","190.94.201.148","17002","aynitics_OLT","Active","","Inactivo"
"LPAZ/CR1/OLT1","VSOL","GPON-OLT","190.94.201.148","17001","aynitics_OLT","Active","","Inactivo"
"HCHB/CR2/OLT1","VSOL","GPON-OLT","154.197.1.252","18001","aynitics_OLT","Active","","Inactivo"
"CRPT/OLT4","VSOL","V1600G2-B","154.194.14.250","21004","aynitics_OLT","Active","","Inactivo"
"CRPT/OLT3","VSOL","V1600G2-B","154.194.14.250","21003","aynitics_OLT","Active","","Inactivo"
"CRPT/CR1/OLT2","VSOL","V1600G2-B","154.194.14.250","21002","aynitics_OLT","Active","","Inactivo"
"CRPT/CR1/OLT1","VSOL","V1600G2-B","154.194.14.250","21001","aynitics_OLT","Active","","Inactivo"
"COCH/OLT5","VSOL","V1600G1-B","154.197.1.251","22005","aynitics_OLT","Active","","Inactivo"
"COCH/OLT4","VSOL","V1600G1-B","154.197.1.251","22004","aynitics_OLT","Active","","Inactivo"
"COCH/CR2/OLT3","VSOL","V1600G2-B","154.197.1.251","22003","aynitics_OLT","Active","","Inactivo"
"COCH/CR2/OLT2","VSOL","V1600G1-B","154.197.1.251","22002","aynitics_OLT","Active","","Inactivo"
"COCH/CR2/OLT1","VSOL","V1600G0-B","154.197.1.251","22001","aynitics_OLT","Active","","Inactivo"
"BSVL/CR2/OLT2","VSOL","V1600G2-B","45.195.12.250","19004","aynitics_OLT","Active","","Inactivo"
"BSVL/CR2/OLT1","VSOL","V1600G0-B","45.195.12.250","19003","aynitics_OLT","Active","","Inactivo"
"ALTG/OLT3","VSOL","V1600G1-B","45.195.12.250","19007","aynitics_OLT","Active","","Inactivo"
"ALTG/CR1/OLT2","VSOL","V1600G0","45.195.12.250","19006","aynitics_OLT","Active","","Inactivo"
"ALTG/CR1/OLT1","VSOL","V1600G1-B","45.195.12.250","19005","aynitics_OLT","Active","","Inactivo"
