"Calle","Codigo interno","Estado","Nombre","País","Zona","Longitud","Latitud","ID externo","Fecha de Geolocalización","Fecha de Instalación","País/ID externo","País/Nombre del país"
"","VCNZ","Miranda (VE)","Vincenzo","Venezuela","","-66.88508","10.47701","__export__.isp_node_33_dc7758a4","","","base.ve","Venezuela"
"","VALL","Distrito Capital (VE)","Valle","Venezuela","Valle Abajo","-66.89945","10.47279","__export__.isp_node_32_1f2da8e1","","","base.ve","Venezuela"
"","VSY","Miranda (VE)","Vaisy","Venezuela","","-6.688507640256511e+22","1.0477008906900304e+16","__export__.isp_node_114_becf636f","","","base.ve","Venezuela"
"","THBO","Miranda (VE)","Torre Humboldt","Venezuela","","-66.88508","10.47701","__export__.isp_node_31_3afcf6a0","","","base.ve","Venezuela"
"","SVDT","Distrito Capital (VE)","Silverdata","Venezuela","","-66.88517999999999","10.47689","__export__.isp_node_42_d659b769","","","base.ve","Venezuela"
"","PDE","Miranda (VE)","Prados del Este","Venezuela","","-66.88508","10.47701","__export__.isp_node_30_16479017","","","base.ve","Venezuela"
"","PQCT","Distrito Capital (VE)","Parque Central","Venezuela","Parque Central","-66.901022","10.498200299999999","__export__.isp_node_41_6d8bdb77","2025-09-15","","base.ve","Venezuela"
"","PRGP","","Paraguaipoa","","Coche","-66.9323587","10.4483892","__export__.isp_node_49_824efe92","","","",""
"","PDEF","","POR DEFECTO","","","0.0","0.0","__export__.isp_node_43_413d47a2","","","",""
"","NIKN","Distrito Capital (VE)","Nicanor","Venezuela","Nikanor","-66.8924767","10.4723814","__export__.isp_node_40_9274031b","","","base.ve","Venezuela"
"","MANS","Miranda (VE)","Mansion","Venezuela","Nikanor","-66.86648","10.44483","__export__.isp_node_29_6e79ffc9","","","base.ve","Venezuela"
"","LPAZ","Distrito Capital (VE)","La Paz","Venezuela","La Paz","-66.9483996","10.4854814","__export__.isp_node_39_ae08259d","","","base.ve","Venezuela"
"","ISP","Distrito Capital (VE)","Iglesia San Pedro","Venezuela","","-66.88508","10.47701","__export__.isp_node_28_1ac09405","","","base.ve","Venezuela"
"","HTML","Distrito Capital (VE)","Hotel Milenio","Venezuela","","-66.88508","10.47701","__export__.isp_node_27_db4b7151","","","base.ve","Venezuela"
"","HCHB","Distrito Capital (VE)","Hacienda Humboldt B","Venezuela","Valle Abajo","-66.8962986","10.4798374","__export__.isp_node_38_b7eb6362","","","base.ve","Venezuela"
"","ARA","","Edificio Aragua","","Coche","-66.922898","10.4496647","__export__.isp_node_48_44a23187","","","",""
"","DORA","Distrito Capital (VE)","Doral Centro","Venezuela","","-66.88508","10.47701","__export__.isp_node_26_8dcad79f","","","base.ve","Venezuela"
"","CUMB","Miranda (VE)","Cumbres","Venezuela","","-66.88222","10.46143","__export__.isp_node_25_f1f3e734","","","base.ve","Venezuela"
"","CBM","Miranda (VE)","Colinas de Bello Monte","Venezuela","","-66.87756999999999","10.47214","__export__.isp_node_24_d298fbca","","","base.ve","Venezuela"
"","COCH","Distrito Capital (VE)","Coche","Venezuela","Coche","-66.86966","10.47701","__export__.isp_node_37_4c1f810c","","","base.ve","Venezuela"
"","CIMA","Distrito Capital (VE)","Cima","Venezuela","","-66.88642999999999","10.47529","__export__.isp_node_23_542ed46d","","","base.ve","Venezuela"
"","CRPT","Distrito Capital (VE)","Carapita","Venezuela","Carapita","-66.97276289999999","10.470860799999999","__export__.isp_node_36_3a8b68ad","","","base.ve","Venezuela"
"","BSVL","Distrito Capital (VE)","Brisavila","Venezuela","Brisavila","-66.9110516","10.5125932","__export__.isp_node_35_c0b750fd","","","base.ve","Venezuela"
"","ALTG","Distrito Capital (VE)","Altagracia","Venezuela","Altagracia","-66.9111947","10.5210327","__export__.isp_node_34_cc0a003f","","","base.ve","Venezuela"
"","679","Miranda (VE)","679","Venezuela","","-66.88951999999999","10.46203","__export__.isp_node_22_b22f67ea","","","base.ve","Venezuela"
