"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Modificada por última vez","Plantilla de producto","Fecha y hora","Campo base","","","True",""
"account_tag_ids","Etiquetas de cuenta","Plantilla de producto","many2many","Campo base","","True","","account.account.tag"
"active","Activo","Plantilla de producto","booleano","Campo base","","True","",""
"activity_calendar_event_id","Siguiente evento en el calendario de actividades.","Plantilla de producto","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Siguiente plazo de actividad","Plantilla de producto","fecha","Campo base","","","True",""
"activity_exception_decoration","Decoración de Actividad  de Excepción","Plantilla de producto","Selección","Campo base","","","True",""
"activity_exception_icon","Icono","Plantilla de producto","Carácter","Campo base","","","True",""
"activity_ids","Actividades","Plantilla de producto","one2many","Campo base","","True","","mail.activity"
"activity_state","Estado de la actividad","Plantilla de producto","Selección","Campo base","","","True",""
"activity_summary","Resumen de la siguiente actividad","Plantilla de producto","Carácter","Campo base","","","",""
"activity_type_icon","Ícono de tipo de actvidad","Plantilla de producto","Carácter","Campo base","","","True",""
"activity_type_id","Siguiente tipo de actividad","Plantilla de producto","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Usuario responsable","Plantilla de producto","many2one","Campo base","","","","res.users"
"allow_negative_stock","Permitir Stock Negativo","Plantilla de producto","booleano","Campo base","","True","",""
"attribute_line_ids","Atributos del producto","Plantilla de producto","one2many","Campo base","","True","","product.template.attribute.line"
"barcode","Código de barras","Plantilla de producto","Carácter","Campo base","","","",""
"burst_limit_download","Burst Limit Download","Plantilla de producto","Carácter","Campo base","","True","",""
"burst_limit_upload","Burst Limit Upload","Plantilla de producto","Carácter","Campo base","","True","",""
"burst_threshold_download","Burst Threshold Download","Plantilla de producto","Carácter","Campo base","","True","",""
"burst_threshold_upload","Burst Threshold Upload","Plantilla de producto","Carácter","Campo base","","True","",""
"burst_time_download","Burst Time Download","Plantilla de producto","Carácter","Campo base","","True","",""
"burst_time_upload","Burst Time Upload","Plantilla de producto","Carácter","Campo base","","True","",""
"c_vlan","c-vlan-profile","Plantilla de producto","entero","Campo base","","True","",""
"can_image_1024_be_zoomed","Puede agrandarse la imagen 1024","Plantilla de producto","booleano","Campo base","","True","True",""
"categ_id","Categoría de producto","Plantilla de producto","many2one","Campo base","","True","","product.category"
"code_ott","Codigo OTT","Plantilla de producto","Carácter","Campo base","","True","",""
"color","Índice de Colores","Plantilla de producto","entero","Campo base","","True","",""
"commission_percentage","Porcentaje de comisión","Plantilla de producto","número flotante","Campo base","","True","",""
"company_id","Compañía","Plantilla de producto","many2one","Campo base","True","True","","res.company"
"configure_queue_burst","Configurar rafaga de cola","Plantilla de producto","booleano","Campo base","","True","",""
"cost_currency_id","Moneda de Coste","Plantilla de producto","many2one","Campo base","","","True","res.currency"
"cost_method","Método de coste","Plantilla de producto","Selección","Campo base","","","True",""
"create_date","Creado en","Plantilla de producto","Fecha y hora","Campo base","","True","True",""
"create_uid","Creado por","Plantilla de producto","many2one","Campo base","","True","True","res.users"
"currency_id","Moneda","Plantilla de producto","many2one","Campo base","","","True","res.currency"
"default_code","Referencia interna","Plantilla de producto","Carácter","Campo base","","True","",""
"description","Descripción","Plantilla de producto","html","Campo base","","True","",""
"description_picking","Descripción en Albarán","Plantilla de producto","texto","Campo base","","True","",""
"description_pickingin","Descripción en Recepciones","Plantilla de producto","texto","Campo base","","True","",""
"description_pickingout","Descripción en los pedidos de Entrega","Plantilla de producto","texto","Campo base","","True","",""
"description_purchase","Descripción de compra","Plantilla de producto","texto","Campo base","","True","",""
"description_sale","Descripción de Ventas","Plantilla de producto","texto","Campo base","","True","",""
"type","Tipo de producto","Plantilla de producto","Selección","Campo base","","True","",""
"dhcp_custom_server","DHCP Leases","Plantilla de producto","Carácter","Campo base","","True","",""
"display_name","Mostrar nombre","Plantilla de producto","Carácter","Campo base","","","True",""
"download_bandwidth","V. de Descarga","Plantilla de producto","número flotante","Campo base","","True","",""
"expense_policy","Gastos de Re-factura","Plantilla de producto","Selección","Campo base","","True","",""
"has_available_route_ids","Se pueden seleccionar rutas en este producto","Plantilla de producto","booleano","Campo base","","","True",""
"has_configurable_attributes","Es un producto configurable","Plantilla de producto","booleano","Campo base","","True","True",""
"has_message","Tiene un mensaje","Plantilla de producto","booleano","Campo base","","","True",""
"id","ID","Plantilla de producto","entero","Campo base","","True","True",""
"image_1024","Imagen 1024","Plantilla de producto","binario","Campo base","","True","True",""
"image_128","Imagen 128","Plantilla de producto","binario","Campo base","","True","True",""
"image_1920","Imagen","Plantilla de producto","binario","Campo base","","True","",""
"image_256","Imagen 256","Plantilla de producto","binario","Campo base","","True","True",""
"image_512","Imagen 512","Plantilla de producto","binario","Campo base","","True","True",""
"incoming_qty","Entrante","Plantilla de producto","número flotante","Campo base","","","True",""
"interface","Interface","Plantilla de producto","Carácter","Campo base","","True","",""
"invoice_policy","Política de Facturación","Plantilla de producto","Selección","Campo base","","True","",""
"ip_address_ids","Direcciones IP","Plantilla de producto","one2many","Campo base","","True","","isp.ip.address"
"ip_address_line_ids","Direcciones IP","Plantilla de producto","one2many","Campo base","","True","","isp.ip.address.line"
"is_commission_product","Producto Comisiona","Plantilla de producto","booleano","Campo base","","True","",""
"is_custom_address_list","Custom AddresList","Plantilla de producto","booleano","Campo base","","True","",""
"is_custom_pppoe_profile","Custom PPPoE Profile","Plantilla de producto","booleano","Campo base","","True","",""
"is_custom_tcon_profile","Custom TCON","Plantilla de producto","booleano","Campo base","","True","",""
"is_custom_traffic_table","Custom Traffic Table","Plantilla de producto","booleano","Campo base","","True","",""
"is_internet","Internet","Plantilla de producto","booleano","Campo base","","True","",""
"is_iptv","IPTV","Plantilla de producto","booleano","Campo base","","True","",""
"is_multiple_vlans","Habilitar multiples Vlans","Plantilla de producto","booleano","Campo base","","True","",""
"is_product_variant","Es una variante de producto","Plantilla de producto","booleano","Campo base","","","True",""
"is_product_vlan","Vlans-Profiles por Producto","Plantilla de producto","booleano","Campo base","","True","",""
"is_required_brand","Es numero serie unico?","Plantilla de producto","booleano","Campo base","","True","",""
"is_speed_control","Control de velocidad","Plantilla de producto","booleano","Campo base","","True","",""
"list_price","Precio de venta","Plantilla de producto","número flotante","Campo base","","True","",""
"location_id","Lugar","Plantilla de producto","many2one","Campo base","","","","stock.location"
"message_attachment_count","Nº de archivos adjuntos","Plantilla de producto","entero","Campo base","","","True",""
"message_follower_ids","Seguidores","Plantilla de producto","one2many","Campo base","","True","","mail.followers"
"message_has_error","Error de Envío de Mensaje","Plantilla de producto","booleano","Campo base","","","True",""
"message_has_error_counter","Numero de errores","Plantilla de producto","entero","Campo base","","","True",""
"message_has_sms_error","Error de entrega del SMS","Plantilla de producto","booleano","Campo base","","","True",""
"message_ids","Mensajes","Plantilla de producto","one2many","Campo base","","True","","mail.message"
"message_is_follower","Es un seguidor","Plantilla de producto","booleano","Campo base","","","True",""
"message_main_attachment_id","Adjuntos principales","Plantilla de producto","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Acción requerida","Plantilla de producto","booleano","Campo base","","","True",""
"message_needaction_counter","Número de acciones","Plantilla de producto","entero","Campo base","","","True",""
"message_partner_ids","Seguidores (Contactos)","Plantilla de producto","many2many","Campo base","","","True","res.partner"
"message_unread","Mensajes sin leer","Plantilla de producto","booleano","Campo base","","","True",""
"message_unread_counter","Nº de mensajes sin leer","Plantilla de producto","entero","Campo base","","","True",""
"my_activity_date_deadline","Mi fecha límite de actividad","Plantilla de producto","fecha","Campo base","","","True",""
"name","Nombre","Plantilla de producto","Carácter","Campo base","True","True","",""
"name_address_list","Name Custom AddresList","Plantilla de producto","Carácter","Campo base","","True","",""
"name_custom_pppoe_profile","Name Custom PPPoE Profile","Plantilla de producto","Carácter","Campo base","","True","",""
"name_custom_profile","Name Custom Profile","Plantilla de producto","Carácter","Campo base","","True","",""
"name_custom_tcon_profile","Name Custom TCON","Plantilla de producto","Carácter","Campo base","","True","",""
"name_custom_traffic_table","Name Custom Traffic Table","Plantilla de producto","Carácter","Campo base","","True","",""
"nbr_moves_in","Número de movimientos de entrada","Plantilla de producto","entero","Campo base","","","True",""
"nbr_moves_out","Número de movimientos de salida","Plantilla de producto","entero","Campo base","","","True",""
"nbr_reordering_rules","Reglas de abastecimiento","Plantilla de producto","entero","Campo base","","","True",""
"number_list_partner","Nombre Plan Padre","Plantilla de producto","Carácter","Campo base","","True","",""
"outgoing_qty","Saliente","Plantilla de producto","número flotante","Campo base","","","True",""
"packaging_ids","Empaquetados del producto","Plantilla de producto","one2many","Campo base","","","","product.packaging"
