,ELEMENTO,NODO,N. DE TRUNK,TIPO DE CABLE,CANT. DE HILOS,CANT.  BUFFER,N. DE BUFFER,N. DE DISTRIBUCION,N. DE MANGA,N. DE ELEMENTO,EDIFICIO/ZONA,LINK,CORRELATIVO,GEOLOCALIZACION,LATITUD,LONGITUD,1693,OLT,PUERTO,ODF Y PUERTO,NOTAS
,,,,,,,,,,,,,,,,,,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,SAN JOSE,,0,GPS,10.512554171870345,-66.91116376627794,MANGA BRISAVILA 0 SAN JOSE,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,SAN JOSE,,1,GPS,10.51251867936647,-66.91014426442065,MANGA BRISAVILA 1 SAN JOSE,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,SAN JOSE,,2,GPS,10.51283472814591,-66.90915060674365,MANGA BRISAVILA 2 SAN JOSE,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,LAS BRISAS,,3,GPS,10.513938136039174,-66.90867206441473,MANGA BRISAVILA 3 LAS BRISAS,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,SAN JOSE,,4,GPS,10.516067477051104,-66.90953316441535,MANGA BRISAVILA 4 SAN JOSE,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,PIRINEO,,5,GPS,10.515317477014273,-66.91028316441466,MANGA BRISAVILA 5 PIRINEO,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,COTIZA,,6,GPS,10.517275282754104,-66.90874902208414,MANGA BRISAVILA 6 COTIZA,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,SAN JOSE,,7,GPS,10.514345276960881,-66.9110609644213,MANGA BRISAVILA 7 SAN JOSE,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,SAN JOSE,,8,GPS,10.517748571436679,-66.91186012209837,MANGA BRISAVILA 8 SAN JOSE,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,SAN JOSE,,9,GPS,10.513956825726835,-66.90901910997971,MANGA BRISAVILA 9 SAN JOSE,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,COTIZA,,10,GPS,10.518595277181431,-66.90971683558298,MANGA BRISAVILA 10 COTIZA,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,SOL DE CARABALLO,,11,GPS,10.52001868026633,-66.91117830673657,MANGA BRISAVILA 11 SOL DE CARABALLO,,,,
,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,BRISAS,,12,GPS,10.519439125743734,-66.91244976442358,MANGA BRISAVILA 12 BRISAS,,,,
