Minimanga 2	-66.9315542364	10.4479919577	__export__.isp_zone_8_d70ed9f2	cable
Troncal 1 Nodo a Manga 1	-66.9228980023 10.4496646948,-66.9228904873 10.449697439,-66.9229072511 10.4497046928,-66.9228770763 10.4497970131,-66.9229441315 10.4498233903,-66.9230400205 10.4497719547,-66.9230728775 10.4496967796,-66.923078242 10.4496051187,-66.9231466383 10.4496242422,-66.923232469 10.4496150102,-66.9232820899 10.4496242422,-66.9233652383 10.4496057781,-66.9234141181 10.4495636019,-66.923511347 10.4494300612	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Manga 1 a Manga 3	-66.923511347 10.4494300612,-66.9234068487 10.4495613834,-66.9233545893 10.4496036815,-66.9232797997 10.4496153224,-66.9232355433 10.449608728,-66.9232375549 10.449547401,-66.9231383132 10.4495256398,-66.9231711702 10.4494108987,-66.9232067095 10.449340999,-66.923270412 10.4493614414,-66.923303269 10.4493014331,-66.9233195807 10.4492860916	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Manga 3 a Manga 4	-66.9233195807 10.4492860916,-66.9234481083 10.4492972655,-66.9234910237 10.4493632087,-66.9235446678 10.4494027746,-66.9236251341 10.4494159632,-66.9236975538 10.4494528914,-66.9238182532 10.4493843105,-66.9238450752 10.4493500201,-66.9239550458 10.449244511,-66.9240194188 10.4490967983,-66.924059652 10.449041406,-66.9241726804 10.4490604406	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Troncal 2 Nodo a Manga 2	-66.9228980023 10.4496646948,-66.9229020654 10.4497270558,-66.9228739022 10.4497864046,-66.9229382752 10.449820695,-66.9229758261 10.4497494765,-66.923037517 10.4497587085,-66.9230790912 10.4497006786,-66.9230938433 10.4496413298,-66.9231327354 10.449572749,-66.9232547759 10.449620228,-66.9233271955 10.4496162714,-66.9233781575 10.4497666216,-66.9233862041 10.449848391,-66.9233298777 10.450038307,-66.9233084201 10.4501174386,-66.9233701109 10.4502097587,-66.9233379244 10.450266466,-66.9233566998 10.4503350466,-66.9233325599 10.4504075839,-66.9232748925 10.4504260479,-66.9234897027 10.4507840895,-66.9235487113 10.4508737718,-66.9236130843 10.4509858746,-66.9236586818 10.4510597305,-66.9237753579 10.4510082951,-66.9238826463 10.4509581786,-66.9239694039 10.4509323812,-66.9240154156 10.4509623797,-66.9240905175 10.4510375545	fffa0004	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Manga 3 a Manga 6	-66.923511347 10.4494300612,-66.9235266329 10.4493934353,-66.9234622599 10.4493195789,-66.923451531 10.4492866074,-66.9235105396 10.4492655055,-66.923566866 10.4493235355,-66.923682201 10.4492549546,-66.9237573029 10.4491705474,-66.9237868072 10.4490900967,-66.9238350869 10.4489344706,-66.9239838377 10.4488873214,-66.9240428463 10.4488108272,-66.9240938083 10.4486776217,-66.9241554991 10.4485127635,-66.9242080835 10.448350373	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Manga 2 a Manga 5	-66.9239694039 10.4509323812,-66.9240235791 10.4509512532,-66.9241563484 10.4510844576,-66.9240061447 10.4511490816,-66.9239672527 10.4511754587,-66.9240544245 10.4512690974,-66.9241134331 10.4512796482,-66.9242220625 10.4512202998,-66.9242837533 10.4512440391,-66.9243065521 10.4512994311,-66.924215357 10.4513535041,-66.924199245 10.4514390582	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Manga 6 a Manga 7. Chalbaud	-66.9242080835 10.448350373,-66.9241375999 10.4483612559,-66.9242127018 10.4481238597,-66.9244272785 10.4481898031,-66.9245023804 10.4481185842,-66.9246364908 10.4477651273,-66.9247679191 10.4477440254,-66.9245345669 10.4476411535,-66.9247974234 10.4475066287,-66.9246981816 10.4474789324,-66.9245265202 10.4475290495,-66.9243360834 10.447442004,-66.9243253546 10.447360234,-66.9244031386 10.4472125203,-66.9244728761 10.4471149238,-66.9245801644 10.4469724855,-66.9247303681 10.4470094139,-66.924703546 10.4468959908,-66.9252346234 10.4468722511,-66.9252854742 10.4468158018	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
SubTroncal Manga 7 a Manga 8	-66.9252854742 10.4468158018,-66.9255265055 10.4468205608,-66.9255372344 10.4466728469,-66.9249632417 10.4466306429,-66.9248827754 10.4463088373,-66.925891286 10.4462824598,-66.9259127436 10.4458815212,-66.9253065644 10.4459237253,-66.9253226577 10.4457601844,-66.9257303534 10.4453434186,-66.9257303534 10.4452326326,-66.9260654781 10.4452077977,-66.9261833535 10.445206836	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
SobTroncal Manga 8 a Manga 9	-66.9261833535 10.445206836,-66.9262077866 10.4448264171,-66.9257571755 10.4448264171,-66.9257786332 10.4447472842,-66.9258054553 10.444625947,-66.9259073792 10.4442988638,-66.926481372 10.4442883127,-66.9264575348 10.4441308219	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
SobTroncal Manga 9 a Manga 10	-66.9264575348 10.4441308219,-66.925955659 10.4441616997,-66.9257571755 10.44406674,-66.9255310377 10.4441387623	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
