Troncal Altagracia	-66.9111946525 10.5210326612,-66.9113533824 10.5210821204,-66.9111414879 10.5209351012,-66.9110160997 10.5208673535	fffa0004	__export__.isp_zone_6_a6f4fa99	cable
Sub Troncal Manga 13 a 14	-66.9124419523 10.5194392533,-66.9125471661 10.5195222921,-66.911879296 10.5200048862,-66.9121287415 10.5203266152,-66.9126678655 10.5205481333,-66.9125149796 10.5207169089,-66.9121694457 10.5206166647	ff00ff37	__export__.isp_zone_6_a6f4fa99	cable
SubTroncal Manga 13 a 15	-66.9110160997 10.5208673535,-66.9104688679 10.5202945246,-66.9102140581 10.5199358758,-66.910136274 10.519318788,-66.9095032727 10.5195376697,-66.909481815 10.5199701585,-66.9094147598 10.5204580261,-66.9093208825 10.5207217381,-66.9093959843 10.5209485302,-66.9094791328 10.5210882973,-66.9094254886 10.5212043303,-66.9093261556 10.5211829695	ff0000ff	__export__.isp_zone_6_a6f4fa99	cable
Troncal 2 Manga 13 a T1	-66.9110160997 10.5208673535,-66.9114136651 10.5211890429,-66.9116765216 10.5215134078,-66.9123124653 10.5216950819,-66.9127228433 10.5217544169,-66.9128382012 10.5218272293,-66.9131490022 10.5218799714,-66.9135563674 10.5220035647,-66.9140123429 10.5220431213,-66.9144307675 10.5218848949,-66.914975256 10.5215789901,-66.9160442486 10.5209814053,-66.9162907812 10.5207675691	fffa0004	__export__.isp_zone_6_a6f4fa99	cable
SubTroncal Manga T1 a T2	-66.9162907812 10.5207675691,-66.9183005727 10.5200412101,-66.9192585746 10.5210752198,-66.9193424294 10.5223322051,-66.9195194552 10.5224429635,-66.9197823117 10.5235861457	fffa0004	__export__.isp_zone_6_a6f4fa99	cable
Sub Troncal Manga T1 a 1	-66.9162262792 10.5216744235,-66.9162162952 10.5215865686,-66.9160620682 10.5214613058,-66.9160285406 10.5212938491,-66.9159976952 10.5211343037,-66.9160097651 10.5210275006,-66.9160567038 10.5209299273,-66.9162907812 10.5207675691	ff00ff04	__export__.isp_zone_6_a6f4fa99	cable
SubTroncal Manga T2 a Manga 4	-66.9197823117 10.5235861457,-66.9198412261 10.5238792407	ff00ff04	__export__.isp_zone_6_a6f4fa99	cable
Fibra Troncal Los Erazos	-66.9093261556 10.5211829695,-66.9092766027 10.5212426341,-66.9092703015 10.5214192365,-66.9089712683 10.5216631988,-66.9083761394 10.5218382499,-66.908377111 10.5218377327,-66.9085970272 10.521536834,-66.9085777969 10.5211994838,-66.9087122251 10.5211157356,-66.9087192285 10.5207961767,-66.9085185897 10.5205106601,-66.9084507114 10.5204216615,-66.9085098167 10.5203440032,-66.9081681673 10.5201610827,-66.9078018466 10.5199008337,-66.9073982043 10.5197047852,-66.9071395201 10.5198635429,-66.9069005924 10.5199835775,-66.9067669524 10.5199905434,-66.9068211763 10.519845085,-66.906874716 10.5196604548,-66.9067867105 10.5194569357,-66.9067993865 10.5192100228,-66.9067792942 10.518985507,-66.9066518519 10.5188920428,-66.9063126234 10.5189625073,-66.9061587641 10.5189626509,-66.905956181 10.5188889987,-66.905888569 10.5188018594,-66.9058445312 10.5185548055,-66.9057155671 10.5184039857,-66.9056213441 10.5181615026,-66.9055323555 10.518055454	fffa0004	__export__.isp_zone_6_a6f4fa99	cable
Distribucion Manga T1 a Manga 5	-66.9162907812 10.5207675691,-66.917126237 10.5204274114,-66.9170308794 10.5203165766	ff00ff37	__export__.isp_zone_6_a6f4fa99	cable
Distribucion Manga T3 a Manga 17	-66.9055323555 10.518055454,-66.9054174472 10.5181023328	ff0000ff	__export__.isp_zone_6_a6f4fa99	cable
SubTroncal T3 a D19	-66.9055323555 10.518055454,-66.9046330035 10.5185261226,-66.9045471728 10.5183626201,-66.9036352218 10.5185366712,-66.9036550188 10.5200886785	ff0000ff	__export__.isp_zone_6_a6f4fa99	cable
Troncal T3 a T4	-66.9055323555 10.518055454,-66.9045961922 10.51853861,-66.9045318192 10.5182959933,-66.9045532769 10.5181905077,-66.9036198681 10.5178951479,-66.9027293747 10.5173571704,-66.9025340343 10.5169566282	ff0000ff	__export__.isp_zone_6_a6f4fa99	cable
SubTroncal M16 a M19	-66.908377111 10.5218377327,-66.9077801822 10.5221947217,-66.9075656055 10.5222421896,-66.9069782017 10.5220602293,-66.9066611115 10.5219389223,-66.9063704973 10.5218714625	ff00ff04	__export__.isp_zone_6_a6f4fa99	cable
Troncal Cujicitos Manga 15 Forestal	-66.9111946525 10.5210326612,-66.9109974182 10.5208165963,-66.9108726955 10.5206992446,-66.9106013252 10.5204178264,-66.9103173807 10.52011256,-66.9102422789 10.5199068643,-66.9101618126 10.5196879828,-66.9101296261 10.5195165695,-66.9100867108 10.5192950507,-66.9098855451 10.5188150925,-66.9096226886 10.5191948397,-66.9095368579 10.5197486368,-66.9095314935 10.5202549646,-66.9094188407 10.5206980009,-66.909382701 10.5207561171,-66.9094202519 10.5209591751,-66.9094792605 10.5211701443,-66.9093880654 10.5212413464,-66.9093261556 10.5211829695	fffa0004	__export__.isp_zone_6_a6f4fa99	cable
SubTroncal Manga D18 a Manga D21	-66.9036550188 10.5200886785,-66.9030321261 10.52060124,-66.9027317187 10.520337528,-66.9023991248 10.5202425916,-66.9022972008 10.5201001869,-66.9019485137 10.5200052505,-66.9015176179 10.5198812355	ff0000ff	__export__.isp_zone_6_a6f4fa99	cable
Distribucion PON 1 (OLT 1). 4 Raices A, B y C	-66.9121694457 10.5206166647,-66.9121296434 10.5205658243,-66.9121661701 10.5204919593,-66.9120865759 10.5204616581,-66.9120146253 10.5203970229,-66.9119779465 10.5204405611,-66.9119296667 10.5203996857	ff00ff04	__export__.isp_zone_6_a6f4fa99	cable
Distribucion PON 1 (OLT 1). 4 Raices D	-66.9121694457 10.5206166647,-66.9122251787 10.5206528236,-66.9122666114 10.5206249946,-66.9123430544 10.5206197204,-66.9124074274 10.5206513658,-66.9124567208 10.5205895584	ff00ff44	__export__.isp_zone_6_a6f4fa99	cable
