"Nombre Tarjeta","Numero Slot","OLT","Tipo","Poolip","Gateway","Active","Action Needed","Activity State","Activity Type Icon","Attachment Count","Created on","DHCP Leases","Display Name","Generado?","Has Message","Icon","ID","ID externo","Is Follower","Next Activity Type","Number of Actions","Number of errors","Portal Access URL","Responsible User","Security Token","SMS Delivery error","Unread Messages","Unread Messages Counter"
"","0","gpon-olt8-Coche","Inactivo","","","True","","","","0","2025-04-29 09:31:28","","False","","True","","31","__export__.isp_olt_card_31_897038a5","","","0","0","#","","","","","0"
"","0","","Inactivo","","","True","","","","0","2025-04-29 09:16:02","","False","","True","","26","__export__.isp_olt_card_26_3fd34bc9","","","0","0","#","","","","","0"
"","0","","Inactivo","","","True","","","","0","2025-04-29 09:28:31","","False","","True","","29","__export__.isp_olt_card_29_330a68bd","","","0","0","#","","","","","0"
"","0","","Inactivo","","","True","","","","0","2025-04-29 09:28:39","","False","","True","","30","__export__.isp_olt_card_30_a98bbf93","","","0","0","#","","","","","0"
"SVDT/CR1/OLT1/C0","0","gpon-olt","Inactivo","","","True","","","","0","2024-08-23 11:31:52","","SVDT/CR1/OLT1/C0","","True","","1","__export__.isp_olt_card_1_df856193","","","0","0","#","","","","","0"
"PQCT/CR1/OLT2/C0","0","gpon-olt8-ParqueCentral","Inactivo","","","True","","","","0","2024-08-23 11:48:44","","PQCT/CR1/OLT2/C0","","True","","2","__export__.isp_olt_card_2_9159013d","","","0","0","#","","","","","0"
"PQCT/CR1/OLT1/C0","0","gpon-olt16-ParqueCentral","Inactivo","","","True","","","","0","2024-08-23 11:49:05","","PQCT/CR1/OLT1/C0","","True","","3","__export__.isp_olt_card_3_2af1d6ba","","","0","0","#","","","","","0"
"NIKN/CR1/OLT1/C0","0","gpon-olt-Nikanor","Inactivo","","","True","","","","0","2024-08-23 11:49:36","","NIKN/CR1/OLT1/C0","","True","","4","__export__.isp_olt_card_4_f87328e1","","","0","0","#","","","","","0"
"LPAZ/OLT4/C0","0","gpon-olt-16-02-LaPaz","Inactivo","","","True","","","","0","2025-08-07 11:30:38","","LPAZ/OLT4/C0","","True","","35","__export__.isp_olt_card_35_5606e507","","","0","0","#","","","","","0"
"LPAZ/CR1/OLT3/C0","0","","Inactivo","","","True","","","","0","2025-06-19 08:46:59","","LPAZ/CR1/OLT3/C0","","True","","34","__export__.isp_olt_card_34_6fc9457e","","","0","0","#","","","","","0"
