"Nombre Tarjeta","Numero Slot","Tipo","Poolip","Gateway","Active","Action Needed","Activity State","Activity Type Icon","Attachment Count","Created on","DHCP Leases","Display Name","Generado?","Has Message","Icon","ID","Is Follower","Next Activity Type","Number of Actions","Number of errors","Portal Access URL","Responsible User","Security Token","SMS Delivery error","Unread Messages","Unread Messages Counter","OLT/ID externo"
"","0","Inactivo","","","True","","","","0","2025-04-29 09:31:28","","False","","True","","31","","","0","0","#","","","","","0","__export__.isp_olt_38_b1781cd3"
"","0","Inactivo","","","True","","","","0","2025-04-29 09:16:02","","False","","True","","26","","","0","0","#","","","","","0",""
"","0","Inactivo","","","True","","","","0","2025-04-29 09:28:31","","False","","True","","29","","","0","0","#","","","","","0",""
"","0","Inactivo","","","True","","","","0","2025-04-29 09:28:39","","False","","True","","30","","","0","0","#","","","","","0",""
"SVDT/CR1/OLT1/C0","0","Inactivo","","","True","","","","0","2024-08-23 11:31:52","","SVDT/CR1/OLT1/C0","","True","","1","","","0","0","#","","","","","0","__export__.isp_olt_30_728fbd0a"
"PQCT/CR1/OLT2/C0","0","Inactivo","","","True","","","","0","2024-08-23 11:48:44","","PQCT/CR1/OLT2/C0","","True","","2","","","0","0","#","","","","","0","__export__.isp_olt_29_9c871e71"
"PQCT/CR1/OLT1/C0","0","Inactivo","","","True","","","","0","2024-08-23 11:49:05","","PQCT/CR1/OLT1/C0","","True","","3","","","0","0","#","","","","","0","__export__.isp_olt_28_691e221c"
"NIKN/CR1/OLT1/C0","0","Inactivo","","","True","","","","0","2024-08-23 11:49:36","","NIKN/CR1/OLT1/C0","","True","","4","","","0","0","#","","","","","0","__export__.isp_olt_27_7d56c305"
"LPAZ/OLT4/C0","0","Inactivo","","","True","","","","0","2025-08-07 11:30:38","","LPAZ/OLT4/C0","","True","","35","","","0","0","#","","","","","0","__export__.isp_olt_44_83423a33"
"LPAZ/CR1/OLT3/C0","0","Inactivo","","","True","","","","0","2025-06-19 08:46:59","","LPAZ/CR1/OLT3/C0","","True","","34","","","0","0","#","","","","","0",""
