"name","Marca","Modelo","type"
"Mikrotik - CCR2116-12G-4S+","Mikrotik","CCR2116-12G-4S+","product"
"Mikrotik - CCR2004-16G-2S+","Mikrotik","CCR2004-16G-2S+","product"
"Mikrotik - CCR1016-12G","Mikrotik","CCR1016-12G","product"
"Mikrotik - RB4011iGS+","Mikrotik","RB4011iGS+","product"
"Mikrotik - hEX S","Mikrotik","hEX S","product"
"Mikrotik - hEX","Mikrotik","hEX","product"
"Mikrotik - hEX PoE","Mikrotik","hEX PoE","product"
"Mikrotik - RB2011UiAS","Mikrotik","RB2011UiAS","product"
"Mikrotik - RB750Pr2","Mikrotik","RB750Pr2","product"
"Mikrotik - RB750Gr3","Mikrotik","RB750Gr3","product"
"Mikrotik - Hex","Mikrotik","Hex","product"
"Mikrotik - hex","Mikrotik","hex","product"
"Mikrotik - CCR2116-12G-4G+","Mikrotik","CCR2116-12G-4G+","product"
"Mikrotik - HEX","Mikrotik","HEX","product"
