,ELEMENTO,NODO,N. DE TRUNK,TIPO DE CABLE,CANT. DE HILOS,CANT.  BUFFER,N. DE BUFFER,N. DE DISTRIBUCION,N. DE MANGA,N. DE ELEMENTO,EDIFICIO/ZONA,LINK,CORRELATIVO,GEOLOCALIZACION,LATITUD,LONGITUD,1693,OLT,PUERTO,ODF Y PUERTO,NOTAS
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,SAN JOSE,,0,GPS,10.5125541718703,-66.9111637662779,MANGA BRISAVILA 0 SAN JOSE,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,SAN JOSE,,1,GPS,10.5125186793665,-66.9101442644207,MANGA BRISAVILA 1 SAN JOSE,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,SAN JOSE,,2,GPS,10.5128347281459,-66.9091506067437,MANGA BRISAVILA 2 SAN JOSE,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,LAS BRISAS,,3,GPS,10.5139381360392,-66.9086720644147,MANGA BRISAVILA 3 LAS BRISAS,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,SAN JOSE,,4,GPS,10.5160674770511,-66.9095331644154,MANGA BRISAVILA 4 SAN JOSE,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,PIRINEO,,5,GPS,10.5153174770143,-66.9102831644147,MANGA BRISAVILA 5 PIRINEO,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,COTIZA,,6,GPS,10.5172752827541,-66.9087490220841,MANGA BRISAVILA 6 COTIZA,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,SAN JOSE,,7,GPS,10.5143452769609,-66.9110609644213,MANGA BRISAVILA 7 SAN JOSE,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,SAN JOSE,,8,GPS,10.5177485714367,-66.9118601220984,MANGA BRISAVILA 8 SAN JOSE,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,SAN JOSE,,9,GPS,10.5139568257268,-66.9090191099797,MANGA BRISAVILA 9 SAN JOSE,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,COTIZA,,10,GPS,10.5185952771814,-66.909716835583,MANGA BRISAVILA 10 COTIZA,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,SOL DE CARABALLO,,11,GPS,10.5200186802663,-66.9111783067366,MANGA BRISAVILA 11 SOL DE CARABALLO,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,BRISAS,,12,GPS,10.5194391257437,-66.9124497644236,MANGA BRISAVILA 12 BRISAS,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,CUJICITOS,,13,GPS,10.520834728824,-66.9110117067552,MANGA BRISAVILA 13 CUJICITOS,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,4 RAICES,,14,GPS,10.5206585681445,-66.9121935220927,MANGA BRISAVILA 14 4 RAICES,,,,
__export__.isp_node_35_c0b750fd,MANGA,BRISAVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,4 RAICES,,15,GPS,10.5211785773102,-66.9093279355869,MANGA BRISAVILA 15 4 RAICES,,,,
__export__.isp_node_34_cc0a003f,MANGA,ALTAGRACIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1,MECEDORES,,T1,GPS,10.5207675691,-66.9162907812,MANGA ALTAGRACIA T1 MECEDORES,,,,
__export__.isp_node_34_cc0a003f,MANGA,ALTAGRACIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T2,MECEDORES,,T2,GPS,10.5235861457,-66.9197823117,MANGA ALTAGRACIA T2 MECEDORES,,,,
__export__.isp_node_34_cc0a003f,MANGA,ALTAGRACIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,MECEDORES,,1,GPS,10.5216744235,-66.9162262792,MANGA ALTAGRACIA 1 MECEDORES,,,,
__export__.isp_node_34_cc0a003f,MANGA,ALTAGRACIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,MECEDORES,,2,GPS,10.5200412101,-66.9183005727,MANGA ALTAGRACIA 2 MECEDORES,,,,
__export__.isp_node_34_cc0a003f,MANGA,ALTAGRACIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,MECEDORES,,3,GPS,10.5210752198,-66.9192585746,MANGA ALTAGRACIA 3 MECEDORES,,,,
__export__.isp_node_34_cc0a003f,MANGA,ALTAGRACIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,MECEDORES,,4,GPS,10.5238792407,-66.9198412261,MANGA ALTAGRACIA 4 MECEDORES,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,1,SAN FRANCISCO,N/A,1,GPS,10.4854232934553,-66.9483069410854,MANGA LA PAZ 1 SAN FRANCISCO,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,2,IGLESIA,N/A,2,GPS,10.4860817483284,-66.9487165459658,MANGA LA PAZ 2 IGLESIA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,3,LICORERIA,N/A,3,GPS,10.4845119728938,-66.9490502348483,MANGA LA PAZ 3 LICORERIA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,4,FINAL CALLE LA LINEA,N/A,4,GPS,10.4840569256916,-66.9499604932575,MANGA LA PAZ 4 FINAL CALLE LA LINEA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,5,CALLE GUAYANITA,N/A,5,GPS,10.4824047246723,-66.9520672067463,MANGA LA PAZ 5 CALLE GUAYANITA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,6,CALLE INDUSTRIA,N/A,6,GPS,10.4816614250968,-66.95093903559,MANGA LA PAZ 6 CALLE INDUSTRIA,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,7,TORRES A-D PPPO7,N/A,7,GPS,10.4822974740309,-66.9507187913969,MANGA LA PAZ 7 TORRES A-D PPPO7,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,8,TORRE E-J PPPO7,N/A,8,GPS,10.482195825532,-66.9501164644185,MANGA LA PAZ 8 TORRE E-J PPPO7,,,,
__export__.isp_node_39_ae08259d,MANGA,LA PAZ,1,ADSS,24,1,N/A,N/A,N/A,9,BLOQUE DE ARMAS,N/A,9,GPS,10.487411425191,-66.9462553644236,MANGA LA PAZ 9 BLOQUE DE ARMAS,,,,
