"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"__last_update","Last Modified on","Configuracion Fechas de Corte Contratos","Fecha y hora","Campo base","","","True",""
"access_token","Security Token","Configuracion Fechas de Corte Contratos","Carácter","Campo base","","True","",""
"access_url","Portal Access URL","Configuracion Fechas de Corte Contratos","Carácter","Campo base","","","True",""
"access_warning","Access warning","Configuracion Fechas de Corte Contratos","texto","Campo base","","","True",""
"active","Activo","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"activity_calendar_event_id","Next Activity Calendar Event","Configuracion Fechas de Corte Contratos","many2one","Campo base","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Configuracion Fechas de Corte Contratos","fecha","Campo base","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Configuracion Fechas de Corte Contratos","Selección","Campo base","","","True",""
"activity_exception_icon","Icon","Configuracion Fechas de Corte Contratos","Carácter","Campo base","","","True",""
"activity_ids","Activities","Configuracion Fechas de Corte Contratos","one2many","Campo base","","True","","mail.activity"
"activity_state","Activity State","Configuracion Fechas de Corte Contratos","Selección","Campo base","","","True",""
"activity_summary","Next Activity Summary","Configuracion Fechas de Corte Contratos","Carácter","Campo base","","","",""
"activity_type_icon","Activity Type Icon","Configuracion Fechas de Corte Contratos","Carácter","Campo base","","","True",""
"activity_type_id","Next Activity Type","Configuracion Fechas de Corte Contratos","many2one","Campo base","","","","mail.activity.type"
"activity_user_id","Responsible User","Configuracion Fechas de Corte Contratos","many2one","Campo base","","","","res.users"
"additional_users","Usuarios Adicionales","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"advance_invoice","Facturación Anticipada","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"amount_exempt_cut","Monto Exento de Corte","Configuracion Fechas de Corte Contratos","número flotante","Campo base","","True","",""
"apply_reconnection","Activar Reconexion","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"apportion_next_date","Prorrateo siguiente fecha","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"charge_proration","Cobrar Prorrateo","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"charge_reconection_portal","Aplicar Reconexion Portal","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"color","Índice de color","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"company_id","Compañia","Configuracion Fechas de Corte Contratos","many2one","Campo base","","True","","res.company"
"contract_actives","Contratos Activos","Configuracion Fechas de Corte Contratos","entero","Campo base","","","True",""
"contract_days_cutoff_line_ids","Contract Days Cutoff Line","Configuracion Fechas de Corte Contratos","one2many","Campo base","","True","","contract.days.cutoff.line"
"create_date","Created on","Configuracion Fechas de Corte Contratos","Fecha y hora","Campo base","","True","True",""
"create_uid","Created by","Configuracion Fechas de Corte Contratos","many2one","Campo base","","True","True","res.users"
"date_cut","Fecha de Corte","Configuracion Fechas de Corte Contratos","fecha","Campo base","","True","True",""
"date_cut_with_benefit","Fecha de Corte con Beneficios","Configuracion Fechas de Corte Contratos","fecha","Campo base","","True","",""
"date_from","Fecha desde","Configuracion Fechas de Corte Contratos","fecha","Campo base","","","True",""
"date_invoice","Fecha de Facturación","Configuracion Fechas de Corte Contratos","fecha","Campo base","","True","True",""
"date_to","Hasta","Configuracion Fechas de Corte Contratos","fecha","Campo base","","","True",""
"day_consumption","Día de Consumo","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_cut","Día de Corte","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_cutoff_recursive_mail","Nro.Dias Despues","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_cutoff_recursive_wp","Nro.Dias Despues","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_from_prorate","Prorratear desde","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_invoice","Día de Facturación","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_reconnection_from","Rango reconexión desde","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_reconnection_rl_from","Rango reconexión desde","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_reconnection_rl_to","Rango reconexión hasta","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_reconnection_to","Rango reconexión hasta","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_recursive_mail","Nro.Dias Antes","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_recursive_wp","Nro.Dias Antes","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"day_to_prorate","Prorratear hasta","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"days_cut_benefit","Dias adicionales","Configuracion Fechas de Corte Contratos","Selección","Campo base","","True","",""
"days_grace","Días de Gracia","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"days_grace_comsumption","Días para Mes Anticipado","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"days_without_proration","Dias sin prorrateo","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"display_name","Display Name","Configuracion Fechas de Corte Contratos","Carácter","Campo base","","","True",""
"end_date_shipping","Dia máximo de pago","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","",""
"has_iptv_discount","Aplicar prorrateo en IPTV","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"has_message","Has Message","Configuracion Fechas de Corte Contratos","booleano","Campo base","","","True",""
"id","ID","Configuracion Fechas de Corte Contratos","entero","Campo base","","True","True",""
"invoice_advance_month","No facturar prorrateo mes anticipado","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_accumulate_discounts","Acumular descuentos","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_active_contract_mail","Not.Bienvenida Mail","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_active_contract_wp","Not.Bienvenida WP","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_active_umbral","Activar Umbral","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_aditional_preinvoice","Prefactura Adicional","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_amount_due_cutoff_mail","Not.Cortes Mail","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_amount_due_cutoff_wp","Not.Cortes WP","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_amount_due_mail","Not.Deudas Mail","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_amount_due_recursive_wp","Not.Deudas WP","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_amount_due_wp","Not.Deudas WP","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_apply_active_ct","Aplicar CT Activos","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_apportion","Prorratear?","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_cutoff_friday","Viernes","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_cutoff_mail","Not.Cortes Mail","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_cutoff_monday","Lunes","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_cutoff_saturday","Sábado","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_cutoff_service","Realizar cortes","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_cutoff_sunday","Domigo","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_cutoff_wp","Not.Cortes WP","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_day_start","Por dia de inicio","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_draft_invoices","Facturas en Borrador","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_end_date_shipping","Dia maximo de pago fija","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_fac_extra_value","¿Facturar solo valores extra?","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_fac_material_extra","¿Facturar Materiales extras?","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_invoice_debts","Deudas en Factura","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_invoice_posted","Facturas Publicadas","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_not_apply_cutoff","No aplica cortados","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_outstanding_debts","Deudas sin vencer","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_payment_mail","Not.Pagos Mail","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_payment_selected_journal","Pagos con diarios seleccionados","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_payment_wp","Not.Pagos WP","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_preinvoice","Generar Avisos de Cobro","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_preinvoice_active","Aviso de Cobro Contratos Activos","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_preinvoice_mail","Not.Avisos de Cobro Mail","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
"is_preinvoice_removal_list","Aviso de Cobro Contratos Lista Retiro","Configuracion Fechas de Corte Contratos","booleano","Campo base","","True","",""
