start	end	text
0	13000	Primero, porque se han hablado aquí, se han hablado allá, se han hablado allá, se han hablado muchas cosas, muchas, muchos temas, porque son temas de...
14000	26000	Pero lo que te haría ahorita, hasta ahorita, sagónica, escuchaba lo que es un dios que crees tú que es tan importante dentro del llamado según lo que tú crees.
26000	28000	Ah, eso es para...
30000	34000	Como a nivel de procesos, o como a nivel de lo que güey ha salido?
35000	37000	Según lo que va a hacer.
38000	42000	De lo que te han dicho, mira, tenemos el que crees tú que es lo más importante.
42000	47000	Segundo, porque hasta ahora se los me ha salido como que copiar medio de los todos.
51000	62000	Como queriendo hacer algo distinto, poner las mangas, o no sé, bueno, la comunicación con los equipos, el API.
63000	71000	Podríamos usar como una pata de protocolo para el ECMF con otro LTE.
79000	84000	Ahora sí, tenemos una visita para que veas si te has notado o has escuchado algo, pero esperamos que haya puesto.
85000	87000	La gasolina.
89000	96000	Entonces es que sí se puede poner particularmente, ven, solamente...
97000	99000	Lo que no es lo que...
99000	106000	Me explicas el día de ayer y un poco por ayer cómo funcionan las cosas, qué es lo que tenemos...
107000	110000	A, B, C, D, E, y todo esto encaja así.
114000	122000	Así que voy a tratar de colocarlo ya directamente a que se debe hacer.
123000	128000	Y de ahí partimos luego a dudas, comentarios, o lo que vaya a salir en el camino.
129000	136000	Pero ya hay una generación de teoría práctica, yo voy a tratar de llevarlo de la práctica de teoría.
141000	144000	Bien, movimentenle un poco en todo esto.
144000	145000	Vamos a ver.
154000	156000	¿Qué es lo más importante para hacer hoy? ¿Hasta los que?
162000	165000	Pero si en algún momento ya te habrán mostrado.
166000	171000	Cada cliente que esto agrega tiene toda una información.
171000	172000	¿Qué?
172000	175000	Además de la parte de la mezcla, te la resuelves luego.
175000	177000	Anía el operativo.
178000	180000	Son módulos.
187000	192000	La mayoría de esa información por muchos la consiguen directamente en el condado.
196000	198000	Esta pantalla la cuento antes.
201000	203000	Lo que yo voy a enfocar ahorita...
214000	217000	Esta parte de serial es un tema de almacén.
218000	222000	Este tema de las cargas snap viene siendo más proyecto.
223000	226000	Anía, yo te puedo hablar mejor de toda esta parte de las cajanas.
226000	228000	Aunque ya te hablaron de cajanas.
